state_and_district_of_columbia,obese_adults_number
Argentina,1
Australia,26
Austria,9
Belgium,31
Brazil,6
Canada,79
China,48
Cuba,1
Cyprus,1
"Czech Republic",1
Denmark,6
Estonia,1
Finland,38
France,101
Germany,118
Greece,12
Hungary,7
India,12
Iran,4
Ireland,2
Israel,83
Italy,27
Japan,36
Mexico,1
Netherlands,24
"New Zealand",3
Poland,2
Portugal,5
"Russian Federation",4
"Saudi Arabia",1
Serbia,1
Singapore,10
Slovakia,1
Slovenia,7
"South Korea",4
Spain,33
Sweden,6
Switzerland,35
Taiwan,17
Thailand,1
Turkey,1
"United Arab Emirates",1
"United Kingdom",107
"United States",645
